"","CNTYVTD.x","VTDKEY","Biden","Trump","CNTYVTD.y","VTD","vap","anglovap","nanglovap","FENAME"
"32",50006,32,91,343,50006,"0006",1273,763,510,"ANGELINA"
"33",50007,33,122,914,50007,"0007",1373,1159,214,"ANGELINA"
"34",50008,34,68,513,50008,"0008",1257,1103,154,"ANGELINA"
"35",50009,35,70,152,50009,"0009",297,231,66,"ANGELINA"
"36",50011,38,160,1485,50011,"0011",2371,2060,311,"ANGELINA"
"37",50012,39,100,477,50012,"0012",1205,863,342,"ANGELINA"
"38",50013,40,200,219,50013,"0013",885,407,478,"ANGELINA"
"39",50014,41,443,892,50014,"0014",2268,1419,849,"ANGELINA"
"40",50015,42,73,400,50015,"0015",1287,762,525,"ANGELINA"
"41",50016,43,561,641,50016,"0016",3315,1089,2226,"ANGELINA"
"42",50017,44,113,1075,50017,"0017",1769,1633,136,"ANGELINA"
"43",50018,45,144,313,50018,"0018",1007,575,432,"ANGELINA"
"44",50019,46,355,700,50019,"0019",1535,1022,513,"ANGELINA"
"45",50020,47,1129,215,50020,"0020",3947,539,3408,"ANGELINA"
"46",50021,48,128,377,50021,"0021",1107,798,309,"ANGELINA"
"47",50022,49,159,1161,50022,"0022",1252,1092,160,"ANGELINA"
"48",50023,50,45,340,50023,"0023",879,699,180,"ANGELINA"
"49",50024,51,345,1308,50024,"0024",3345,2093,1252,"ANGELINA"
"50",50025,52,244,1291,50025,"0025",2755,2037,718,"ANGELINA"
"51",50026,53,153,1085,50026,"0026",1779,1522,257,"ANGELINA"
"52",50027,54,21,255,50027,"0027",434,352,82,"ANGELINA"
"53",50028,55,134,700,50028,"0028",1217,896,321,"ANGELINA"
"54",50029,56,132,949,50029,"0029",1665,1450,215,"ANGELINA"
"55",50030,57,63,687,50030,"0030",1167,1094,73,"ANGELINA"
"56",50031,58,58,224,50031,"0031",515,288,227,"ANGELINA"
"57",50032,59,0,19,50032,"0032",110,86,24,"ANGELINA"
"58",50033,60,73,1026,50033,"0033",1391,1269,122,"ANGELINA"
"59",50034,61,467,1092,50034,"0034",2735,1905,830,"ANGELINA"
"60",50035,62,343,1017,50035,"0035",2071,1481,590,"ANGELINA"
"61",50037,63,59,304,50037,"0037",595,423,172,"ANGELINA"
"62",50038,64,49,241,50038,"0038",510,363,147,"ANGELINA"
"63",50039,65,108,233,50039,"0039",758,488,270,"ANGELINA"
"64",50040,66,182,300,50040,"0040",989,493,496,"ANGELINA"
"65",70001,69,319,1317,70001,"0001",2587,2035,552,"ARANSAS"
"66",70002,70,664,1637,70002,"0002",4461,2391,2070,"ARANSAS"
"67",70003,71,843,2406,70003,"0003",4961,3729,1232,"ARANSAS"
"68",70004,72,687,2307,70004,"0004",4188,3307,881,"ARANSAS"
"69",90001,75,89,905,90001,"0001",1507,1355,152,"ARCHER"
"70",90002,76,59,570,90002,"0002",851,762,89,"ARCHER"
"71",90003,77,26,257,90003,"0003",400,328,72,"ARCHER"
"72",90004,78,28,500,90004,"0004",681,524,157,"ARCHER"
"73",90005,79,14,129,90005,"0005",156,147,9,"ARCHER"
"74",90006,80,79,753,90006,"0006",1230,1071,159,"ARCHER"
"75",90007,81,11,141,90007,"0007",224,194,30,"ARCHER"
"76",90008,82,33,228,90008,"0008",307,281,26,"ARCHER"
"77",90009,83,10,113,90009,"0009",174,167,7,"ARCHER"
"78",90010,84,79,533,90010,"0010",821,736,85,"ARCHER"
"79",90011,85,2,16,90011,"0011",22,20,2,"ARCHER"
"80",90012,86,6,51,90012,"0012",87,80,7,"ARCHER"
"81",90013,87,10,104,90013,"0013",152,146,6,"ARCHER"
"82",110101,88,14,272,110101,"0101",356,316,40,"ARMSTRONG"
"83",110201,89,15,152,110201,"0201",267,225,42,"ARMSTRONG"
"84",110202,90,10,61,110202,"0202",101,92,9,"ARMSTRONG"
"85",110301,91,14,240,110301,"0301",288,257,31,"ARMSTRONG"
"86",110303,92,6,37,110303,"0303",53,47,6,"ARMSTRONG"
"87",110401,93,6,115,110401,"0401",155,130,25,"ARMSTRONG"
"88",110402,94,10,135,110402,"0402",177,161,16,"ARMSTRONG"
"89",110404,95,0,23,110404,"0404",30,30,0,"ARMSTRONG"
"90",130001,96,140,451,130001,"0001",1041,466,575,"ATASCOSA"
"91",130003,97,279,567,130003,"0003",2013,860,1153,"ATASCOSA"
"92",130004,98,208,290,130004,"0004",1527,413,1114,"ATASCOSA"
"93",130005,99,364,486,130005,"0005",2403,502,1901,"ATASCOSA"
"94",130006,100,89,117,130006,"0006",514,211,303,"ATASCOSA"
"95",130007,101,343,670,130007,"0007",2528,737,1791,"ATASCOSA"
"96",130008,102,122,259,130008,"0008",681,272,409,"ATASCOSA"
"97",130009,103,531,782,130009,"0009",3598,823,2775,"ATASCOSA"
"98",130010,104,122,212,130010,"0010",753,228,525,"ATASCOSA"
"99",130011,105,457,754,130011,"0011",2049,717,1332,"ATASCOSA"
"100",130012,106,274,504,130012,"0012",1679,499,1180,"ATASCOSA"
"101",130013,107,440,1229,130013,"0013",3080,1394,1686,"ATASCOSA"
"102",130014,108,39,107,130014,"0014",212,145,67,"ATASCOSA"
"103",130015,109,606,949,130015,"0015",3084,959,2125,"ATASCOSA"
"104",130017,110,614,561,130017,"0017",2360,412,1948,"ATASCOSA"
"105",130018,111,334,746,130018,"0018",1883,545,1338,"ATASCOSA"
"106",130019,112,75,251,130019,"0019",517,238,279,"ATASCOSA"
"107",130020,113,622,2106,130020,"0020",4229,2462,1767,"ATASCOSA"
"108",130021,114,115,582,130021,"0021",1090,607,483,"ATASCOSA"
"109",130022,115,102,416,130022,"0022",742,416,326,"ATASCOSA"
"110",150101,116,187,751,150101,"0101",1677,1047,630,"AUSTIN"
"111",150102,117,217,808,150102,"0102",1455,965,490,"AUSTIN"
"112",150103,118,161,974,150103,"0103",1577,1250,327,"AUSTIN"
"113",150104,119,97,512,150104,"0104",938,631,307,"AUSTIN"
"114",150205,120,379,1638,150205,"0205",3067,2290,777,"AUSTIN"
"115",150206,121,162,904,150206,"0206",1304,1121,183,"AUSTIN"
"116",150207,122,87,477,150207,"0207",780,629,151,"AUSTIN"
"117",150208,123,103,401,150208,"0208",679,562,117,"AUSTIN"
"118",150309,124,40,451,150309,"0309",674,552,122,"AUSTIN"
"119",150310,125,436,1507,150310,"0310",3272,2038,1234,"AUSTIN"
"120",150311,126,307,356,150311,"0311",1732,488,1244,"AUSTIN"
"121",150412,127,136,310,150412,"0412",721,426,295,"AUSTIN"
"122",150413,128,166,903,150413,"0413",1752,1204,548,"AUSTIN"
"123",150414,129,216,699,150414,"0414",1766,916,850,"AUSTIN"
"124",150415,130,257,756,150415,"0415",1763,1004,759,"AUSTIN"
"125",170001,131,114,440,170001,"0001",1155,508,647,"BAILEY"
"126",170002,132,101,607,170002,"0002",1307,731,576,"BAILEY"
"127",170003,133,104,255,170003,"0003",1196,341,855,"BAILEY"
"128",190101,136,260,1009,190101,"0101",1807,1429,378,"BANDERA"
"129",190102,137,397,1684,190102,"0102",2594,2040,554,"BANDERA"
"130",190203,138,407,1321,190203,"0203",2469,1911,558,"BANDERA"
"131",190204,139,324,968,190204,"0204",1944,1452,492,"BANDERA"
"132",190305,140,366,1651,190305,"0305",2904,2207,697,"BANDERA"
"133",190306,141,142,971,190306,"0306",1397,1181,216,"BANDERA"
"134",190407,142,328,1506,190407,"0407",2484,1877,607,"BANDERA"
"135",190408,143,67,165,190408,"0408",230,199,31,"BANDERA"
"136",190409,144,133,441,190409,"0409",1049,683,366,"BANDERA"
"137",190410,145,81,341,190410,"0410",471,416,55,"BANDERA"
"138",211001,146,108,175,211001,"1001",387,304,83,"BASTROP"
"139",211002,147,179,296,211002,"1002",647,481,166,"BASTROP"
"140",211003,148,672,1099,211003,"1003",2444,1774,670,"BASTROP"
"141",211004,149,722,645,211004,"1004",2322,1284,1038,"BASTROP"
"142",211005,150,369,507,211005,"1005",1462,1021,441,"BASTROP"
"143",211006,151,721,823,211006,"1006",5830,2067,3763,"BASTROP"
"144",211007,152,566,705,211007,"1007",1923,1300,623,"BASTROP"
"145",211008,153,413,508,211008,"1008",1479,840,639,"BASTROP"
"146",211009,154,702,809,211009,"1009",3366,1638,1728,"BASTROP"
"147",212010,155,204,346,212010,"2010",1130,696,434,"BASTROP"
"148",212011,156,504,728,212011,"2011",2050,1244,806,"BASTROP"
"149",212012,157,335,638,212012,"2012",1655,1214,441,"BASTROP"
"150",212013,158,841,1352,212013,"2013",3571,2500,1071,"BASTROP"
"151",212014,159,703,1472,212014,"2014",3657,2538,1119,"BASTROP"
"152",212015,160,850,1207,212015,"2015",3582,2457,1125,"BASTROP"
"153",212016,161,525,1463,212016,"2016",2886,2262,624,"BASTROP"
"154",213017,162,692,1195,213017,"3017",3340,1997,1343,"BASTROP"
"155",213018,163,346,801,213018,"3018",1998,1344,654,"BASTROP"
"156",213019,164,843,804,213019,"3019",4919,1640,3279,"BASTROP"
"157",213020,165,1034,701,213020,"3020",6833,1335,5498,"BASTROP"
"158",214021,166,883,1042,214021,"4021",3852,2045,1807,"BASTROP"
"159",214022,167,761,758,214022,"4022",3198,1618,1580,"BASTROP"
"160",214023,168,306,563,214023,"4023",1892,1203,689,"BASTROP"
"161",214024,169,532,652,214024,"4024",2690,1335,1355,"BASTROP"
"162",214025,170,828,647,214025,"4025",3295,1001,2294,"BASTROP"
"163",214026,171,835,580,214026,"4026",2619,1148,1471,"BASTROP"
"164",230001,172,40,428,230001,"0001",656,565,91,"BAYLOR"
"165",230002,173,42,382,230002,"0002",655,532,123,"BAYLOR"
"166",230003,174,48,335,230003,"0003",680,556,124,"BAYLOR"
"167",230004,175,53,349,230004,"0004",645,559,86,"BAYLOR"
"168",250001,176,449,837,250001,"0001",2467,898,1569,"BEE"
"169",250002,177,55,306,250002,"0002",508,240,268,"BEE"
"170",250003,178,335,638,250003,"0003",9616,2046,7570,"BEE"
"171",250004,179,108,292,250004,"0004",656,315,341,"BEE"
"172",250005,180,137,448,250005,"0005",875,493,382,"BEE"
"173",250006,181,208,524,250006,"0006",1250,537,713,"BEE"
"174",250009,182,255,192,250009,"0009",768,72,696,"BEE"
"175",250010,183,385,333,250010,"0010",1987,338,1649,"BEE"
"176",250013,184,346,646,250013,"0013",1586,577,1009,"BEE"
"177",250016,185,226,453,250016,"0016",1336,474,862,"BEE"
"178",250017,186,302,378,250017,"0017",1377,341,1036,"BEE"
"179",250018,187,297,837,250018,"0018",1876,905,971,"BEE"
"180",250019,188,184,122,250019,"0019",720,108,612,"BEE"
"181",270101,189,986,2470,270101,"0101",7294,5325,1969,"BELL"
"182",270102,190,851,2105,270102,"0102",5894,3710,2184,"BELL"
"183",270103,191,905,1811,270103,"0103",6444,3364,3080,"BELL"
"184",270104,192,706,1914,270104,"0104",3805,3023,782,"BELL"
"185",270105,193,187,993,270105,"0105",1958,1501,457,"BELL"
"186",270106,194,1447,740,270106,"0106",5672,1709,3963,"BELL"
"187",270107,195,92,254,270107,"0107",804,439,365,"BELL"
"188",270108,196,192,1043,270108,"0108",1870,1469,401,"BELL"
"189",270109,197,845,548,270109,"0109",4096,1236,2860,"BELL"
"190",270110,198,436,470,270110,"0110",8155,4193,3962,"BELL"
"191",270111,199,828,1258,270111,"0111",4017,2176,1841,"BELL"
"192",270113,200,754,1735,270113,"0113",5380,3015,2365,"BELL"
"193",270114,201,843,1252,270114,"0114",3987,2202,1785,"BELL"
"194",270115,202,873,2365,270115,"0115",4649,3439,1210,"BELL"
"195",270116,203,552,282,270116,"0116",2166,563,1603,"BELL"
"196",270117,204,0,0,270117,"0117",0,0,0,"BELL"
"197",270201,205,851,794,270201,"0201",4658,2070,2588,"BELL"
"198",270202,206,1292,1559,270202,"0202",5528,2600,2928,"BELL"
"199",270203,207,594,2208,270203,"0203",3557,2780,777,"BELL"
"200",270204,208,603,396,270204,"0204",3502,1146,2356,"BELL"
"201",270205,209,1707,882,270205,"0205",6646,1820,4826,"BELL"
"202",270206,210,955,524,270206,"0206",3134,883,2251,"BELL"
"203",270207,211,1299,701,270207,"0207",5516,1658,3858,"BELL"
"204",270208,212,1815,984,270208,"0208",5429,1679,3750,"BELL"
"205",270209,213,1565,1270,270209,"0209",4582,1709,2873,"BELL"
"206",270210,214,1516,978,270210,"0210",4492,1236,3256,"BELL"
"207",270211,215,305,208,270211,"0211",1709,536,1173,"BELL"
"208",270212,216,429,345,270212,"0212",1249,777,472,"BELL"
"209",270213,217,697,2581,270213,"0213",4025,3407,618,"BELL"
"210",270214,218,1690,1163,270214,"0214",5067,2020,3047,"BELL"
"211",270215,219,1757,1155,270215,"0215",5152,1519,3633,"BELL"
"212",270216,220,989,1131,270216,"0216",4550,2171,2379,"BELL"
"213",270301,221,446,2238,270301,"0301",4626,3471,1155,"BELL"
"214",270302,222,1232,1734,270302,"0302",6519,3699,2820,"BELL"
"215",270303,223,1341,1503,270303,"0303",6211,3256,2955,"BELL"
"216",270304,224,57,171,270304,"0304",399,277,122,"BELL"
"217",270305,225,509,1000,270305,"0305",2588,1767,821,"BELL"
"218",270306,226,1011,776,270306,"0306",6036,2417,3619,"BELL"
"219",270307,227,1062,458,270307,"0307",5309,1434,3875,"BELL"
"220",270308,228,1130,1520,270308,"0308",5575,3000,2575,"BELL"
"221",270309,229,165,785,270309,"0309",1492,1130,362,"BELL"
"222",270310,230,43,361,270310,"0310",574,473,101,"BELL"
"223",270311,231,409,1817,270311,"0311",3546,2771,775,"BELL"
"224",270312,232,245,1223,270312,"0312",2451,1758,693,"BELL"
"225",270313,233,1080,2029,270313,"0313",5312,3832,1480,"BELL"
"226",270314,234,837,964,270314,"0314",5208,2725,2483,"BELL"
"227",270315,235,866,1571,270315,"0315",4160,2332,1828,"BELL"
"228",270317,236,1214,2145,270317,"0317",5390,3467,1923,"BELL"
"229",270318,237,1112,1998,270318,"0318",5170,3383,1787,"BELL"
"230",270401,238,779,935,270401,"0401",3778,1584,2194,"BELL"
"231",270402,239,1508,1293,270402,"0402",5701,2090,3611,"BELL"
"232",270404,240,1488,765,270404,"0404",6176,1873,4303,"BELL"
"233",270405,241,1715,717,270405,"0405",6851,1629,5222,"BELL"
"234",270406,242,883,639,270406,"0406",5619,1875,3744,"BELL"
"235",270408,243,1587,852,270408,"0408",6234,1639,4595,"BELL"
"236",270409,244,732,628,270409,"0409",2492,923,1569,"BELL"
"237",270410,245,741,421,270410,"0410",6391,1667,4724,"BELL"
"238",270412,246,1362,526,270412,"0412",5036,1326,3710,"BELL"
"239",270413,247,1613,778,270413,"0413",5646,1354,4292,"BELL"
"240",270414,248,1672,658,270414,"0414",6204,1375,4829,"BELL"
"241",270415,249,1340,721,270415,"0415",5266,1364,3902,"BELL"
"242",270419,250,274,548,270419,"0419",1216,858,358,"BELL"
"243",291001,251,420,108,291001,"1001",891,307,584,"BEXAR"
"244",291002,252,307,160,291002,"1002",777,141,636,"BEXAR"
"245",291003,253,1108,269,291003,"1003",2888,669,2219,"BEXAR"
"246",291004,254,370,110,291004,"1004",1253,83,1170,"BEXAR"
"247",291005,255,344,100,291005,"1005",1182,62,1120,"BEXAR"
"248",291006,256,861,297,291006,"1006",3089,153,2936,"BEXAR"
"249",291007,257,592,185,291007,"1007",1616,76,1540,"BEXAR"
"250",291008,258,1076,209,291008,"1008",2167,685,1482,"BEXAR"
"251",291009,259,694,474,291009,"1009",2077,538,1539,"BEXAR"
"252",291010,260,320,74,291010,"1010",765,121,644,"BEXAR"
"253",291011,261,412,155,291011,"1011",1698,95,1603,"BEXAR"
"254",291012,262,800,432,291012,"1012",3115,417,2698,"BEXAR"
"255",291013,263,1055,263,291013,"1013",3297,123,3174,"BEXAR"
"256",291014,264,517,127,291014,"1014",1948,67,1881,"BEXAR"
"257",291015,265,553,167,291015,"1015",1977,59,1918,"BEXAR"
"258",291016,266,446,139,291016,"1016",1514,59,1455,"BEXAR"
"259",291017,267,96,49,291017,"1017",421,98,323,"BEXAR"
"260",291018,268,350,129,291018,"1018",1441,72,1369,"BEXAR"
"261",291019,269,306,109,291019,"1019",1646,189,1457,"BEXAR"
"262",291020,270,679,242,291020,"1020",2200,266,1934,"BEXAR"
"263",291021,271,661,221,291021,"1021",2240,145,2095,"BEXAR"
"264",291022,272,367,123,291022,"1022",1231,34,1197,"BEXAR"
"265",291023,273,943,264,291023,"1023",3381,96,3285,"BEXAR"
"266",291024,274,1301,719,291024,"1024",3811,698,3113,"BEXAR"
"267",291025,275,223,68,291025,"1025",1005,53,952,"BEXAR"
"268",291026,276,452,166,291026,"1026",1821,83,1738,"BEXAR"
"269",291027,277,175,127,291027,"1027",554,118,436,"BEXAR"
"270",291028,278,290,112,291028,"1028",1058,69,989,"BEXAR"
"271",291029,279,803,247,291029,"1029",2761,107,2654,"BEXAR"
"272",291030,280,23,16,291030,"1030",290,34,256,"BEXAR"
"273",291031,281,589,179,291031,"1031",2290,118,2172,"BEXAR"
"274",291032,282,902,232,291032,"1032",3157,107,3050,"BEXAR"
"275",291033,283,656,357,291033,"1033",3375,504,2871,"BEXAR"
"276",291034,284,1706,1375,291034,"1034",4875,1716,3159,"BEXAR"
"277",291035,285,220,227,291035,"1035",9174,5171,4003,"BEXAR"
"278",291036,286,1334,764,291036,"1036",4779,718,4061,"BEXAR"
"279",291037,287,907,366,291037,"1037",4234,528,3706,"BEXAR"
"280",291038,288,1203,625,291038,"1038",4499,537,3962,"BEXAR"
"281",291039,289,1021,349,291039,"1039",5413,304,5109,"BEXAR"
"282",291040,290,951,303,291040,"1040",3979,170,3809,"BEXAR"
"283",291041,291,796,254,291041,"1041",3108,145,2963,"BEXAR"
"284",291042,292,445,171,291042,"1042",1277,42,1235,"BEXAR"
"285",291043,293,609,301,291043,"1043",2088,252,1836,"BEXAR"
"286",291044,294,915,331,291044,"1044",2420,116,2304,"BEXAR"
"287",291045,295,1345,535,291045,"1045",5349,377,4972,"BEXAR"
"288",291046,296,822,292,291046,"1046",2996,220,2776,"BEXAR"
"289",291047,297,650,229,291047,"1047",2383,162,2221,"BEXAR"
"290",291048,298,869,347,291048,"1048",2918,255,2663,"BEXAR"
"291",291049,299,960,396,291049,"1049",3916,318,3598,"BEXAR"
"292",291050,300,330,154,291050,"1050",1114,112,1002,"BEXAR"
"293",291051,301,694,420,291051,"1051",2834,460,2374,"BEXAR"
"294",291052,302,861,380,291052,"1052",2641,317,2324,"BEXAR"
"295",291053,303,88,40,291053,"1053",345,42,303,"BEXAR"
"296",291054,304,1034,461,291054,"1054",3222,384,2838,"BEXAR"
"297",291055,305,897,487,291055,"1055",2289,526,1763,"BEXAR"
"298",291056,306,1180,731,291056,"1056",4766,442,4324,"BEXAR"
"299",291057,307,644,700,291057,"1057",4155,873,3282,"BEXAR"
"300",291058,308,783,721,291058,"1058",3869,791,3078,"BEXAR"
"301",291059,309,152,91,291059,"1059",1267,140,1127,"BEXAR"
"302",291060,310,1155,428,291060,"1060",4147,138,4009,"BEXAR"
"303",291061,311,979,337,291061,"1061",4308,248,4060,"BEXAR"
"304",291062,312,34,63,291062,"1062",306,54,252,"BEXAR"
"305",291063,313,562,645,291063,"1063",3002,624,2378,"BEXAR"
"306",291064,314,401,311,291064,"1064",1883,302,1581,"BEXAR"
"307",291065,315,714,709,291065,"1065",3259,595,2664,"BEXAR"
"308",291066,316,270,177,291066,"1066",1294,168,1126,"BEXAR"
"309",291067,317,878,1095,291067,"1067",4572,1147,3425,"BEXAR"
"310",291068,318,701,576,291068,"1068",3564,733,2831,"BEXAR"
"311",291069,319,199,181,291069,"1069",859,295,564,"BEXAR"
"312",291070,320,415,192,291070,"1070",1840,271,1569,"BEXAR"
"313",291071,321,783,418,291071,"1071",2480,477,2003,"BEXAR"
"314",291072,322,884,341,291072,"1072",2611,471,2140,"BEXAR"
"315",291073,323,1411,1028,291073,"1073",4065,1187,2878,"BEXAR"
"316",291074,324,6,5,291074,"1074",37,3,34,"BEXAR"
"317",291075,325,823,318,291075,"1075",4260,413,3847,"BEXAR"
"318",291076,326,1155,616,291076,"1076",3835,690,3145,"BEXAR"
"319",291077,327,696,221,291077,"1077",2114,93,2021,"BEXAR"
"320",291078,328,210,61,291078,"1078",657,18,639,"BEXAR"
"321",291079,329,1146,551,291079,"1079",3603,797,2806,"BEXAR"
"322",291080,330,1389,538,291080,"1080",5530,1232,4298,"BEXAR"
"323",291081,331,529,760,291081,"1081",3252,1870,1382,"BEXAR"
"324",291082,332,1214,649,291082,"1082",4204,694,3510,"BEXAR"
"325",291083,333,1177,704,291083,"1083",3027,820,2207,"BEXAR"
"326",291084,334,761,320,291084,"1084",3270,355,2915,"BEXAR"
"327",291085,335,635,270,291085,"1085",2934,390,2544,"BEXAR"
"328",291086,336,1012,473,291086,"1086",3137,508,2629,"BEXAR"
"329",291087,337,635,250,291087,"1087",2624,262,2362,"BEXAR"
"330",291088,338,352,115,291088,"1088",1241,44,1197,"BEXAR"
"331",291089,339,24,7,291089,"1089",82,3,79,"BEXAR"
"332",291090,340,0,0,291090,"1090",0,0,0,"BEXAR"
"333",291091,341,969,451,291091,"1091",3023,241,2782,"BEXAR"
"334",291092,342,420,212,291092,"1092",1736,100,1636,"BEXAR"
"335",291093,343,529,295,291093,"1093",2460,738,1722,"BEXAR"
"336",291094,344,991,562,291094,"1094",3932,583,3349,"BEXAR"
"337",291095,345,95,72,291095,"1095",637,343,294,"BEXAR"
"338",291096,346,58,15,291096,"1096",248,35,213,"BEXAR"
"339",291097,347,289,125,291097,"1097",1137,59,1078,"BEXAR"
"340",291098,348,387,84,291098,"1098",1195,75,1120,"BEXAR"
"341",291099,349,1299,676,291099,"1099",3319,740,2579,"BEXAR"
"342",291100,350,1210,665,291100,"1100",3243,711,2532,"BEXAR"
"343",291101,351,0,0,291101,"1101",1,0,1,"BEXAR"
"344",291102,352,291,324,291102,"1102",1594,407,1187,"BEXAR"
"345",291103,353,288,275,291103,"1103",1352,453,899,"BEXAR"
"346",291104,354,1375,804,291104,"1104",4108,912,3196,"BEXAR"
"347",291105,355,262,158,291105,"1105",1775,212,1563,"BEXAR"
"348",291106,356,0,0,291106,"1106",0,0,0,"BEXAR"
"349",291107,357,943,785,291107,"1107",4840,866,3974,"BEXAR"
"350",291108,358,786,556,291108,"1108",2069,622,1447,"BEXAR"
"351",291109,359,0,3,291109,"1109",19,0,19,"BEXAR"
"352",291110,360,1236,731,291110,"1110",4073,949,3124,"BEXAR"
"353",291111,361,1631,965,291111,"1111",4078,930,3148,"BEXAR"
"354",291112,362,1037,460,291112,"1112",3509,573,2936,"BEXAR"
"355",291113,363,1275,686,291113,"1113",4117,1234,2883,"BEXAR"
"356",291114,364,23,18,291114,"1114",183,10,173,"BEXAR"
"357",291115,365,472,170,291115,"1115",1590,114,1476,"BEXAR"
"358",291116,366,513,444,291116,"1116",1675,573,1102,"BEXAR"
"359",291117,367,123,78,291117,"1117",497,35,462,"BEXAR"
"360",291118,368,1288,1091,291118,"1118",3815,1175,2640,"BEXAR"
"361",291119,369,56,19,291119,"1119",228,12,216,"BEXAR"
"362",291120,370,70,17,291120,"1120",255,12,243,"BEXAR"
"363",291121,371,1500,930,291121,"1121",4000,1245,2755,"BEXAR"
"364",291123,374,168,183,291123,"1123",960,251,709,"BEXAR"
"365",291124,375,88,35,291124,"1124",310,15,295,"BEXAR"
"366",291125,376,880,672,291125,"1125",2417,778,1639,"BEXAR"
"367",291126,377,0,0,291126,"1126",0,0,0,"BEXAR"
"368",291127,378,210,84,291127,"1127",814,42,772,"BEXAR"
"369",291128,379,606,402,291128,"1128",4347,977,3370,"BEXAR"
"370",291129,380,1068,656,291129,"1129",2491,755,1736,"BEXAR"
"371",291130,381,0,0,291130,"1130",2,0,2,"BEXAR"
"372",291131,382,0,0,291131,"1131",0,0,0,"BEXAR"
"373",291132,383,214,97,291132,"1132",691,129,562,"BEXAR"
"374",291133,384,0,2,291133,"1133",49,6,43,"BEXAR"
"375",291134,385,0,0,291134,"1134",5,1,4,"BEXAR"
"376",291135,386,0,0,291135,"1135",5,0,5,"BEXAR"
"377",291136,387,40,27,291136,"1136",334,66,268,"BEXAR"
"378",291137,388,0,0,291137,"1137",0,0,0,"BEXAR"
"379",291138,389,373,157,291138,"1138",2578,645,1933,"BEXAR"
"380",291139,390,804,337,291139,"1139",2740,409,2331,"BEXAR"
"381",291140,391,495,316,291140,"1140",1572,355,1217,"BEXAR"
"382",291141,392,955,666,291141,"1141",3289,803,2486,"BEXAR"
"383",291142,393,875,402,291142,"1142",2954,418,2536,"BEXAR"
"384",291143,394,1404,1035,291143,"1143",4456,1544,2912,"BEXAR"
"385",291144,395,958,1302,291144,"1144",2454,1851,603,"BEXAR"
"386",291145,396,251,294,291145,"1145",727,330,397,"BEXAR"
"387",291146,397,51,56,291146,"1146",313,64,249,"BEXAR"
"388",291147,398,1115,615,291147,"1147",3128,667,2461,"BEXAR"
"389",291148,399,340,195,291148,"1148",1453,266,1187,"BEXAR"
"390",291149,400,981,495,291149,"1149",3087,667,2420,"BEXAR"
"391",291150,401,1046,691,291150,"1150",3235,816,2419,"BEXAR"
"392",291151,402,1002,702,291151,"1151",3024,940,2084,"BEXAR"
"393",291152,403,577,338,291152,"1152",1410,368,1042,"BEXAR"
"394",291153,404,448,374,291153,"1153",1342,406,936,"BEXAR"
"395",291155,408,609,323,291155,"1155",1979,438,1541,"BEXAR"
"396",291156,409,1120,787,291156,"1156",2979,994,1985,"BEXAR"
